date,stock,type,units,value
05/03/21,Telefónica,STOCK,190,721.81
05/03/21,Siemens Gamesa Renewable Energy,STOCK,10,284.0
05/03/21,SPDR S&P 500 UCiTS ETF,ETF,17,5434.650576
05/03/21,CureVac NV,STOCK,31,2105.731296
05/03/21,NIO,STOCK,15,492.09984
05/03/21,Slack Technologies,STOCK,2,66.73248
05/03/21,EUR,CASH,426.99,426.99
03/03/20,SPDR S&P 500 UCiTS ETF,BUY,6,1676.814358337314
09/03/20,SPDR S&P 500 UCiTS ETF,BUY,10,2448.5752935129
09/03/20,SPDR S&P 500 UCiTS ETF,BUY,1,246.540703945635
28/08/20,CureVac NV,BUY,25,1216.10291139895
31/08/20,Slack Technologies,BUY,2,54.44502795303
15/10/20,Telefónica,BUY,180,542.99
11/02/21,NIO,BUY,15,763.096338476875
12/02/21,Siemens Gamesa Renewable Energy,BUY,10,339.27
01/03/21,CureVac NV,BUY,6,475.8808398235
21/01/21,DOT,BUY,35.7731126000,481.0
05/03/21,DOT,CRYPTO,35.7731126000,993.051589304472
